name,popular_tags
Might & Magic® Heroes® VII,"Strategy,Turn-Based Strategy,RPG,Fantasy,Turn-Based,Singleplayer,Multiplayer,Story Rich,Adventure,Atmospheric,Co-op,Masterpiece,Classic"
DEAD OR ALIVE 5 Last Round: Core Fighters,"Fighting,Female Protagonist,Action,Mature,Anime,Sexual Content,Ninja,Multiplayer,Arcade,Physics,Singleplayer,Cute,Great Soundtrack,Beat 'em up,Local Multiplayer,Free to Play,Competitive,3D,Moddable,Fast-Paced"
The Beginner's Guide,"Story Rich,Walking Simulator,Indie,Narration,Atmospheric,Short,First-Person,Singleplayer,Adventure,Abstract,Surreal,Great Soundtrack,Experimental,Dark,Psychological,Emotional,Experience,Psychological Horror,Philisophical,Puzzle"
Dead Island Definitive Edition,"Zombies,Survival,Open World,Co-op,Action,Multiplayer,Gore,First-Person,Horror,FPS,RPG,Crafting,Survival Horror,Singleplayer,Online Co-Op,Adventure,Violent,Controller,Nudity,Female Protagonist"
Blush Blush,"Early Access,Free to Play,Dating Sim,Clicker,Anime,Early Access,Casual,Romance,Cute,Simulation,Indie,Funny,Otome,Sexual Content,Resource Management,Singleplayer"
Quern - Undying Thoughts,"Adventure,Puzzle,Indie,Exploration,First-Person,Atmospheric,Story Rich,Singleplayer,Mystery,Difficult,Relaxing,Walking Simulator,Point & Click,Great Soundtrack,Surreal,Casual,Steampunk,Classic,Drama,Open World"
Hedon,"Action,Violent,Gore,Indie,Adventure,Female Protagonist,Nudity,Retro,FPS,First-Person,Shooter,Dark Fantasy,Singleplayer,Atmospheric,Fantasy,Demons,Classic,Fast-Paced,Medieval,Pixel Graphics"
Gladiabots,"Strategy,Indie,Programming,Simulation,Logic,Multiplayer,Artificial Intelligence,Robots,Education,Singleplayer,Tactical,Early Access,Sci-fi,Difficult,Sandbox,Asynchronous Multiplayer,Building,Great Soundtrack,Puzzle,Competitive"
RaceRoom Racing Experience,"Racing,Free to Play,Multiplayer,Simulation,Driving,Sports,Singleplayer,Action,Realistic,Controller,First-Person,Open World,Massively Multiplayer,Co-op,Online Co-Op,Adventure,VR,FPS,Casual,Early Access"
Portal Knights,"Adventure,Open World,Sandbox,Multiplayer,Building,RPG,Crafting,Survival,Co-op,Action,Exploration,Singleplayer,Fantasy,Early Access,Voxel,Casual,MMORPG,Cute,Dungeon Crawler,Third Person"
Obduction,"Adventure,Puzzle,Exploration,Mystery,First-Person,Surreal,VR,Indie,Walking Simulator,Open World,Atmospheric,Casual,Nonlinear,Singleplayer,Story Rich,Choices Matter,Sci-fi,FMV,Point & Click,Survival"
Kingdom: New Lands,"Strategy,Pixel Graphics,Survival,Indie,Base Building,Singleplayer,Tower Defense,2D,Building,Simulation,Medieval,Exploration,Adventure,Fantasy,Atmospheric,Great Soundtrack,Side Scroller,Rogue-like,Casual,Open World"
Life is Strange: Before the Storm,"Story Rich,Choices Matter,Great Soundtrack,Female Protagonist,Atmospheric,Episodic,Singleplayer,Adventure,Choose Your Own Adventure,Third Person,Multiple Endings,Drama,Mystery,Action,Indie,Walking Simulator,Point & Click,Psychological Horror,Memes,Time Travel"
Moss,"Adventure,VR,Casual,Puzzle,Platformer,Third Person,Puzzle-Platformer,Cute,Action,Indie,Female Protagonist,First-Person,Singleplayer"
Nuclear Throne,"Rogue-like,Indie,Difficult,Pixel Graphics,Bullet Hell,Action,Rogue-lite,Top-Down Shooter,Great Soundtrack,Post-apocalyptic,Shooter,Local Co-Op,Singleplayer,Top-Down,2D,Twin Stick Shooter,Perma Death,RPG,Local Multiplayer,GameMaker"
Planetary Annihilation: TITANS,"Strategy,RTS,Space,Multiplayer,Base Building,Robots,Sci-fi,War,Building,Co-op,Action,Singleplayer,Grand Strategy,Open World,Futuristic,Mechs,Destruction,Indie,Great Soundtrack,Casual"
GUILTY GEAR Xrd -REVELATOR-,"Fighting,Anime,2D Fighter,Great Soundtrack,Action,Multiplayer,2.5D,Local Multiplayer,Story Rich,Difficult,Controller,Arcade,Competitive,e-sports,Singleplayer,Tutorial,Cute,2D,God Game,Fishing"
Sid Meier's Civilization® IV,"Strategy,Turn-Based Strategy,Turn-Based,4X,Historical,Multiplayer,Singleplayer,Moddable,Grand Strategy,Classic,Addictive,Masterpiece,Replay Value,Simulation,Resource Management,Great Soundtrack,Economy,War,Tactical,Management"
Movavi Video Editor 15 Plus,"Video Production,Utilities,Animation & Modeling,Audio Production"
Atelier Lulua ~The Scion of Arland~ / ルルアのアトリエ ～アーランドの錬金術士４～,"Anime,JRPG,Female Protagonist,Cute,RPG,Crafting,Singleplayer,Great Soundtrack,Fantasy,Turn-Based,Adventure"
Fallout 2: A Post Nuclear Role Playing Game,"RPG,Post-apocalyptic,Classic,Open World,Masterpiece,Isometric,Turn-Based,Turn-Based Combat,Singleplayer,Sci-fi,Atmospheric,Story Rich,Great Soundtrack,Retro,Exploration,Replay Value,Dark Humor,Adventure,CRPG,Sandbox"
Signal Simulator,"Simulation,Indie,Aliens,Space,Science,Sandbox"
Supreme Commander,"Strategy,RTS,Sci-fi,Multiplayer,Masterpiece,Real-Time,Co-op,Real-Time with Pause,Singleplayer,Base Building,Robots,Action,Classic,Space"
The Binding of Isaac,"Rogue-like,Indie,Replay Value,Difficult,Procedural Generation,Dark,Action,Top-Down,Great Soundtrack,Addictive,Singleplayer,Adventure,Rogue-lite,Survival,RPG,2D,Dungeon Crawler,Perma Death,Bullet Hell,Masterpiece"
Football Manager 2018,"Sports,Simulation,Management,Soccer,Football,Strategy,Multiplayer,Singleplayer,Tactical,Heist,Psychological Horror"
Gal*Gun: Double Peace,"Sexual Content,Anime,Nudity,Mature,Cute,On-Rails Shooter,Dating Sim,Action,Singleplayer,Visual Novel,Adventure,FPS,Comedy,Romance,Memes,Funny,Story Rich,Great Soundtrack,Family Friendly,Survival Horror"
Genital Jousting,"Sexual Content,Nudity,Comedy,Multiplayer,NSFW,Funny,Memes,Mature,Action,Local Multiplayer,Indie,Story Rich,Cute,Co-op,Great Soundtrack,Casual,Local Co-Op,Early Access,Illuminati,Violent"
Fruit Ninja VR,"Action,VR,Sports,Casual,Simulation"
Blood Trail,"Early Access,Gore,Violent,Early Access,Action,VR"
Revelation Online,"Free to Play,RPG,MMORPG,Massively Multiplayer"
Catherine Classic,"Sexual Content,Anime,Nudity,Story Rich,Puzzle,Choices Matter,Mature,Puzzle-Platformer,Violent,Singleplayer,Difficult,Horror,Multiple Endings,Adventure,Gore,Great Soundtrack,Psychological Horror,Surreal,Local Multiplayer,Sokoban"
Bladed Fury,"Action,Female Protagonist,Indie,Violent,Adventure,RPG,Hack and Slash,Side Scroller,Casual,2D,Anime,Action RPG"
Gaia,"Early Access,Adventure,RPG,Simulation,Action,Early Access,Indie,Strategy,Survival,Building,Open World,Sandbox,Crafting,Sci-fi,Singleplayer,Atmospheric,Multiplayer"
Railroad Corporation,"Early Access,Trains,Simulation,Management,Strategy,Historical,Indie,Real-Time with Pause,Early Access,Building,Multiplayer,Singleplayer,Real-Time,Economy,Western,Competitive,Retro"
WORLD OF FINAL FANTASY®,"RPG,JRPG,Anime,Fantasy,Turn-Based Combat,Cute,Singleplayer,Open World,Adventure,Great Soundtrack,Turn-Based,Multiplayer,Strategy,Female Protagonist,Family Friendly,Story Rich"
Heaven's Vault,"Adventure,Indie,Story Rich,Choices Matter,Sci-fi,Puzzle,Female Protagonist,Interactive Fiction,Choose Your Own Adventure,Singleplayer"
Edge Of Eternity,"Early Access,RPG,JRPG,Turn-Based,Open World,Anime,Story Rich,Great Soundtrack,Fantasy,Early Access,Turn-Based Combat,Singleplayer,Adventure,Indie,Mod,Atmospheric,Moddable,Action,Tactical RPG,Multiplayer"
Stronghold Crusader 2,"Strategy,Medieval,City Builder,RTS,Multiplayer,Simulation,Historical,Classic,Singleplayer,Co-op,Building,Atmospheric,Resource Management,Masterpiece,Action,Sandbox,Tactical,Open World,Adventure,Survival"
Supreme Commander 2,"Strategy,RTS,Sci-fi,Multiplayer,Robots,Base Building,Co-op,Singleplayer,Grand Strategy,Real-Time,Action,Military,Futuristic,War,Tactical,Masterpiece,Classic,Sandbox"
Fire Pro Wrestling World,"Wrestling,Simulation,Sports,Character Customization,2D,Retro,Multiplayer,Fighting,Early Access"
Shotgun Farmers,"Indie,Action,FPS,Funny,Multiplayer,Shooter,First-Person,Team-Based,Early Access,Fast-Paced,Colorful,Arena Shooter,Comedy,Character Customization,Singleplayer,Co-op,Online Co-Op,3D,America,Family Friendly"
KIDS,"Indie,Casual,Adventure,Short,Surreal,Psychological Horror"
Secret of Mana,"JRPG,RPG,Singleplayer,Great Soundtrack,Story Rich,Anime,Adventure,Remake,Action RPG,Cute,Co-op,Classic,Fantasy,Multiplayer,Action,Local Co-Op,Retro,Cult Classic,Local Multiplayer"
Rain World,"Atmospheric,Survival,Difficult,Platformer,Indie,Adventure,Pixel Graphics,2D,Exploration,Post-apocalyptic,Action,Cute,Great Soundtrack,Singleplayer,Survival Horror,Open World,Metroidvania,Stealth,Physics,Horror"
Creeper World 3: Arc Eternal,"Strategy,Tower Defense,Indie,RTS,Singleplayer,Sci-fi,Real-Time with Pause,Simulation,Base Building,Level Editor,Top-Down,Addictive,2D,Survival,Resource Management"
TY the Tasmanian Tiger,"3D Platformer,Adventure,Action,Classic,Singleplayer,Platformer,Retro,Open World,Remake,Indie,Family Friendly,Great Soundtrack,Funny,Early Access,Cartoony"
DYNASTY WARRIORS 8: Xtreme Legends Complete Edition / 真・三國無双７ with 猛将伝,"Hack and Slash,Action,Historical,Great Soundtrack,Third Person,Local Co-Op,Local Multiplayer,Beat 'em up,Masterpiece,Singleplayer,Adventure,RPG,Fighting,Action RPG,Multiplayer,JRPG,Strategy,Co-op,Spectacle fighter,Casual"
Power & Revolution,"Strategy,Simulation,Politics,Economy,Political,Grand Strategy,War"
Orc Colony,"Early Access,Strategy,Simulation,Early Access"
Serious Sam VR: The Last Hope,"Action,VR,Indie,FPS,Shooter,Singleplayer,Gore,First-Person,Early Access,Co-op"
Stronghold Legends: Steam Edition,"Strategy,Simulation,Medieval,RTS,Base Building,Multiplayer,City Builder,Fantasy,Economy,Singleplayer,Resource Management,Historical,Sandbox,Real-Time,Great Soundtrack,Co-op,Building,Real Time Tactics,3D,Remake"
Mad Max,"Open World,Action,Post-apocalyptic,Driving,Singleplayer,Survival,Third Person,Adventure,Exploration,Racing,Atmospheric,Story Rich,Sandbox,RPG,Third-Person Shooter,Shooter,Multiplayer,War,Sci-fi,First-Person"
Conscious Existence - A Journey Within,"Indie,VR,360 Video,Cinematic,Atmospheric,Great Soundtrack,Short,Family Friendly,Movie,Relaxing,Epic"
Houdini Indie,"Animation & Modeling,Game Development,3D,Design & Illustration,Procedural Generation"
Idle Wizard,"Free to Play,Clicker,Casual,RPG"
Holdfast: Nations At War,"Early Access,Historical,Multiplayer,Early Access,Action,Indie,Naval,War,Third-Person Shooter,Military,Strategy,First-Person,Massively Multiplayer,FPS,Simulation,Memes,Team-Based,Shooter,Third Person,Tactical"
Bloons TD Battles,"Free to Play,Tower Defense,Multiplayer,Strategy,Action,Competitive,PvP,Casual,Funny,2D,Co-op,Family Friendly,Massively Multiplayer,Singleplayer,Difficult,Building,Mod,Adventure,Sandbox,Indie"
Mirror's Edge™,"Parkour,First-Person,Action,Female Protagonist,Singleplayer,Great Soundtrack,Adventure,Platformer,Atmospheric,Dystopian,Stylized,Futuristic,Sci-fi,FPS,Cyberpunk,Puzzle,Time Attack,Colorful,Masterpiece,Classic"
BioShock® 2,"FPS,Action,Singleplayer,Atmospheric,Story Rich,Horror,Shooter,First-Person,Steampunk,Sci-fi,Multiplayer,Dystopian,Underwater,Adventure,RPG,Masterpiece,Dark,Great Soundtrack,Philisophical,Action RPG"
FINAL FANTASY® XI: Ultimate Collection Seekers Edition,"Massively Multiplayer,MMORPG,RPG,Fantasy,Story Rich,JRPG,Great Soundtrack"
Sankaku Renai: Love Triangle Trouble,"Sexual Content,Nudity,Visual Novel,Simulation,Adventure,Casual,Anime"
Tom Clancy's Rainbow Six® Vegas 2,"Action,Tactical,FPS,Co-op,Online Co-Op,Singleplayer,Multiplayer,Shooter,First-Person,Team-Based,Strategy,Character Customization,Stealth,Third Person,Classic,Difficult,Third-Person Shooter,Atmospheric,Adventure,Realistic"
Offworld Trading Company - Free Multiplayer,"Strategy,Economy,RTS,Space,Sci-fi,Multiplayer,Simulation,Competitive,Indie,Futuristic,Trading,Singleplayer,Management,Resource Management,Mars,Co-op,Base Building,Early Access,Building,Capitalism"
The Room Three,"Puzzle,Mystery,Indie,Adventure,Atmospheric,Point & Click,Singleplayer,Dark,Psychological Horror,Lovecraftian"
Dragon Saga,"Free to Play,Massively Multiplayer,MMORPG,Anime,RPG,Action,Dragons,Multiplayer,Adventure,Cute,Casual,Racing,PvP,Side Scroller"
Lovers in a Dangerous Spacetime,"Local Co-Op,Co-op,Action,Indie,Space,4 Player Local,Cute,2D,Simulation,Colorful,Local Multiplayer,Adventure,Sci-fi,Multiplayer,Great Soundtrack,Shoot 'Em Up"
Elven Assassin,"Early Access,Early Access,VR,Action,Simulation,Adventure,Indie,Multiplayer"
Campfire Pro,Utilities
EmergeNYC,"Early Access,Simulation,Early Access,Action,Strategy,RPG,Indie,Open World,Multiplayer,Casual,Driving,Singleplayer,Realistic,Racing,First-Person,Adventure"
Devil May Cry HD Collection,"Action,Hack and Slash,Character Action Game,Singleplayer,Classic,Great Soundtrack,Difficult,Demons,Stylized,Spectacle fighter,Violent,Third Person,Gore,Beat 'em up,Story Rich,Anime,Adventure,Atmospheric,Fast-Paced,Gothic"
BlazBlue Centralfiction,"Fighting,Anime,2D Fighter,Great Soundtrack,Action,Visual Novel,Story Rich,Multiplayer,Nudity,Sexual Content,Singleplayer,Local Multiplayer,Difficult,Cute,Fantasy,Controller,Arcade,e-sports,Tutorial,God Game"
OVRdrop,"Utilities,VR"
The Ditzy Demons Are in Love With Me,"Sexual Content,Nudity,Visual Novel,Anime,Adventure,Dating Sim,Cute,Mature"
Interstellar Transport Company,"Space,Simulation,Management,Strategy,Trading,Sci-fi,Economy,Multiplayer,Early Access,Sandbox,Realistic,Great Soundtrack,Real-Time with Pause,Real-Time,Relaxing,Space Sim,Indie,Online Co-Op,Difficult,Science"
Visage,"Early Access,Horror,Psychological Horror,Early Access,Adventure,Indie,Violent,Dark,Survival Horror,Atmospheric,First-Person,Simulation,Singleplayer,Exploration,Realistic,Surreal,Walking Simulator,Experimental,Action"
Batman: The Enemy Within - The Telltale Series,"Story Rich,Adventure,Batman,Choices Matter,Point & Click,Singleplayer,Superhero,Action,Episodic,Comic Book,Violent,Third Person,Detective,Atmospheric,Gore,Dark,Quick-Time Events,Visual Novel,Mature,Horror"
Wolfpack,"Early Access,Simulation,Early Access,Co-op,World War II,Submarine,Naval,Underwater,Multiplayer,Realistic,Singleplayer,Online Co-Op"
Bloodstained: Curse of the Moon,"Action,Pixel Graphics,Metroidvania,Retro,Platformer,2D,Side Scroller,Singleplayer,Great Soundtrack,Adventure,Female Protagonist,Difficult"
Shadowrun: Hong Kong - Extended Edition,"RPG,Cyberpunk,Turn-Based,Story Rich,Strategy,Isometric,Indie,Adventure,Singleplayer,Turn-Based Tactics,CRPG,Kickstarter,Turn-Based Combat,Atmospheric,Sci-fi,Great Soundtrack,Tactical,Female Protagonist,Fantasy,Action"
Metro Sim Hustle,"Early Access,Early Access,Simulation,RPG,Indie,Nudity,Sexual Content,Casual,Action,Adventure,Survival"
Eden Rising,"Tower Defense,Adventure,Open World,Action,Strategy,Crafting,Co-op,Indie,Multiplayer,Survival,Exploration,Early Access,Online Co-Op,Third Person,RPG,Free to Play,Sci-fi,Aliens,Stylized,Female Protagonist"
Battlefield: Bad Company™ 2,"FPS,Multiplayer,Action,Shooter,War,Team-Based,First-Person,Destruction,Military,Singleplayer,Co-op,Tactical,Atmospheric,Open World,Classic,Comedy,Masterpiece,Strategy,Adventure,Simulation"
From the Depths,"Early Access,Sandbox,Building,Strategy,Open World,Naval,Multiplayer,Action,Adventure,Early Access,Simulation,Indie,War,Crafting,Physics,Singleplayer,RPG,Voxel,Space,Co-op"
Red Orchestra 2: Heroes of Stalingrad with Rising Storm,"Realistic,World War II,FPS,Multiplayer,Historical,Action,Tactical,First-Person,Shooter,Military,Team-Based,War,Simulation,Atmospheric,Tanks,Gore,Difficult,Co-op,Strategy,Singleplayer"
MOBIUS FINAL FANTASY™,"Free to Play,RPG,Fantasy,Multiplayer,MMORPG,Anime,Action,Open World,Turn-Based,Singleplayer,JRPG,Card Game,Adventure,Story Rich,Casual,Turn-Based Combat,Character Customization,Action RPG,Survival,FPS"
La-Mulana 2,"Metroidvania,Indie,Adventure,Action,2D,Female Protagonist,Pixel Graphics,Great Soundtrack,Difficult,Retro,Puzzle,Singleplayer,Puzzle-Platformer,Exploration,Platformer,Side Scroller,Kickstarter,Sequel,Controller,Classic"
Heroes of Might & Magic V,"Strategy,Turn-Based Strategy,Fantasy,Tactical,Turn-Based,RPG,Multiplayer,Masterpiece,Classic,Local Multiplayer,Story Rich,Singleplayer,Magic,Adventure,Great Soundtrack,Atmospheric"
Heroes® of Might & Magic® III - HD Edition,"Strategy,Classic,Turn-Based Strategy,Fantasy,Multiplayer,Masterpiece,Great Soundtrack,RPG,Atmospheric,Turn-Based,Singleplayer,Remake,Co-op,Adventure,Replay Value,Retro,Local Multiplayer,Magic,Local Co-Op,Action"
Bloons TD 5,"Tower Defense,Strategy,Co-op,Family Friendly,Action,Casual,Multiplayer,Singleplayer,Online Co-Op,Funny,2D,Colorful,Sandbox,Replay Value,Difficult,Great Soundtrack,Survival,Anime,Psychological Horror,Horror"
Weedcraft Inc,"Simulation,Strategy,Management,Indie,Singleplayer,Casual,Clicker"
Mechanic Miner,"Early Access,Indie,Sandbox,Building,Adventure,RPG,Pixel Graphics,Early Access,Action,Survival,2D,Simulation,Strategy,Physics,Singleplayer,Dinosaurs,Online Co-Op,Side Scroller,Base Building,Story Rich"
SpeedRunners,"Multiplayer,Racing,Local Multiplayer,Competitive,Fast-Paced,Platformer,Indie,2D,Funny,4 Player Local,Parkour,Action,Controller,Local Co-Op,Sports,Level Editor,Co-op,Arcade,Singleplayer,Superhero"
Vox Machinae,"Early Access,Action,Indie,Simulation,Mechs,Early Access,VR"
DYNASTY WARRIORS® 8 Empires,"Action,Character Customization,Hack and Slash,Strategy,RPG,Historical,Third Person,Beat 'em up,Singleplayer,Great Soundtrack,Anime,Local Co-Op,Co-op"
Terraforming Mars,"Board Game,Strategy,Space,Turn-Based,Mars,Card Game,Multiplayer"
Epic Battle Fantasy 5,"RPG,Adventure,Turn-Based,Strategy,Funny,Great Soundtrack,Singleplayer,Indie,Comedy,2D,Anime,Fantasy,Parody,JRPG,Cats,Turn-Based Combat,Sexual Content,Epic,Casual"
Besiege,"Early Access,Building,Sandbox,Physics,Destruction,Medieval,Singleplayer,Simulation,Early Access,Strategy,Indie,Funny,Puzzle,Blood,Action,Open World,Casual,Third Person,Multiplayer,Gore"
Scribblenauts Unlimited,"Puzzle,Casual,Adventure,Family Friendly,Sandbox,Singleplayer,2D,Funny,Comedy,Open World,Cute,Strategy,Education,Fantasy,Moddable,Platformer,Multiplayer,Replay Value,Action,Indie"
FINAL FANTASY IV,"JRPG,RPG,Fantasy,Remake,Story Rich,Classic,Great Soundtrack,Singleplayer,Turn-Based,Adventure,Turn-Based Combat,Masterpiece,1990's,Anime,Difficult,Controller"
VTOL VR,"Early Access,Simulation,VR,Flight,Action,Indie,Early Access"
DYNASTY WARRIORS 7: Xtreme Legends Definitive Edition / 真・三國無双６ with 猛将伝 DX,"Action,Hack and Slash,Historical,Anime"
Mortal Kombat Komplete Edition,"Fighting,Gore,Action,Violent,Multiplayer,Classic,Blood,Co-op,Masterpiece,Arcade,Singleplayer,2D Fighter,Competitive,Local Co-Op,Local Multiplayer,Replay Value,2.5D,Remake,Beat 'em up,2D"
Tropico 5,"Strategy,City Builder,Simulation,Sandbox,Multiplayer,Economy,Politics,Management,Singleplayer,Resource Management,Masterpiece,Comedy,Co-op,RPG,Historical,Great Soundtrack,RTS,Atmospheric,Open World,Funny"
Barony,"RPG,Rogue-like,Dungeon Crawler,Indie,Co-op,Pixel Graphics,Adventure,Action,First-Person,Multiplayer,Fantasy,Rogue-lite,Voxel,Violent,Sexual Content,Difficult,FPS,Singleplayer,Procedural Generation"
Danganronpa Another Episode: Ultra Despair Girls,"Anime,Female Protagonist,Action,Story Rich,Third-Person Shooter,Singleplayer,Great Soundtrack,Visual Novel,Sexual Content,Violent,Adventure,Nudity,Horror,Puzzle,Psychological Horror,Detective,Mature,Survival Horror,Mystery,Dark"
Gauntlet™ Slayer Edition,"Co-op,Dungeon Crawler,Action,RPG,Hack and Slash,Local Co-Op,Multiplayer,Adventure,Top-Down,Arcade,4 Player Local,Remake,Classic,Fantasy,Online Co-Op,Local Multiplayer,Action RPG,Isometric,Casual,Old School"
Particle Fleet: Emergence,"Strategy,Indie,Simulation,Space,RTS,Real-Time with Pause,Sci-fi,Pixel Graphics,Tower Defense,Great Soundtrack"
RUINER,"Cyberpunk,Action,Great Soundtrack,Top-Down Shooter,Twin Stick Shooter,Violent,Indie,Gore,Isometric,Atmospheric,Difficult,Singleplayer,Sci-fi,Shooter,Top-Down,Dystopian,Third Person,Open World,Hack and Slash,Multiplayer"
Duke Nukem 3D: 20th Anniversary World Tour,"FPS,Action,Classic,Gore,Shooter,First-Person,Adventure,1990's,Singleplayer,Funny,Multiplayer,Retro,Nudity,Comedy,Aliens,Co-op,Great Soundtrack,Memes,Remake,Online Co-Op"
Torment: Tides of Numenera,"RPG,Story Rich,Isometric,Singleplayer,Adventure,Choices Matter,CRPG,Indie,Turn-Based Combat,Atmospheric,Fantasy,Kickstarter,Sci-fi,Strategy,Turn-Based,Dark Fantasy,Party-Based RPG,Early Access,Female Protagonist,Great Soundtrack"
Assassin's Creed 2 Deluxe Edition,"Action,Open World,Parkour,Adventure,Stealth,Assassin,Third Person,Historical,Story Rich,Singleplayer,Great Soundtrack,Atmospheric,Conspiracy,Action-Adventure,Masterpiece,Classic,Multiplayer,Controller,Alternate History,Sandbox"
VEGAS Pro 16 Edit Steam Edition,"Video Production,Audio Production"
Age of Fear: The Undead King GOLD,"Indie,Strategy,RPG,Open World,Sandbox,Procedural Generation,Perma Death,Fantasy,Singleplayer,Story Rich,Adventure,Turn-Based Combat,Replay Value,Turn-Based,Medieval,Zombies,Turn-Based Strategy,Difficult,Tactical,Turn-Based Tactics"
Planetbase,"City Builder,Base Building,Space,Strategy,Survival,Simulation,Sci-fi,Resource Management,Singleplayer,Management,Building,Indie,Sandbox,Open World,Space Sim,RTS,Crafting,Atmospheric,Adventure,Free to Play"
STAR WARS™ Republic Commando™,"Star Wars,FPS,Action,Tactical,Sci-fi,Singleplayer,Shooter,First-Person,Classic,Multiplayer,Great Soundtrack,Space,Masterpiece,Atmospheric,Epic,Adventure,Team-Based,Co-op,War,Strategy"
Duelyst,"Free to Play,Card Game,Strategy,Pixel Graphics,Turn-Based Tactics,Turn-Based Strategy,Turn-Based Combat,Multiplayer,Tactical,Trading Card Game,Indie,Turn-Based,Fantasy,Anime"
RealFlight 8,"Simulation,Racing,Indie,Flight,VR"
DEAD OR SCHOOL,"Sexual Content,Nudity,Female Protagonist,Action,Anime,RPG,Mature,Indie,Zombies,Hack and Slash,Early Access,Metroidvania,Side Scroller"
Shadow Warrior 2,"Action,Gore,FPS,Co-op,Ninja,Shooter,Swordplay,Hack and Slash,Multiplayer,Comedy,First-Person,Demons,Open World,Funny,Adventure,Loot,Singleplayer,Parkour,Memes,Sci-fi"
Command & Conquer 3: Tiberium Wars,"Strategy,RTS,Base Building,Sci-fi,Multiplayer,Singleplayer,Action,FMV,Masterpiece,Atmospheric,Classic,Post-apocalyptic"
Cat Goes Fishing,"Fishing,Casual,Cute,Cats,Indie,Relaxing,Simulation,Singleplayer,2D,Arcade,Underwater,Puzzle,Action,Funny,Difficult,Psychological Horror,Anime,Family Friendly,Multiplayer,Gore"
Cossacks 3,"Strategy,RTS,Base Building,Historical,Multiplayer,Classic,Resource Management,Tactical,City Builder,Singleplayer,Real-Time,Remake,Grand Strategy,Co-op,Action,Moddable,Competitive,Replay Value,Isometric,Adventure"
The Mage's Tale,"RPG,Action,VR,Fantasy,Magic,Adventure,Singleplayer,First-Person,Action-Adventure,CRPG"
Death Road to Canada,"Pixel Graphics,Zombies,Rogue-like,Action,Survival,Local Co-Op,Indie,Comedy,Character Customization,Great Soundtrack,RPG,2D,Funny,Multiplayer,Difficult,Replay Value,Co-op,Rogue-lite,Memes,Adventure"
Overgrowth,"Parkour,Action,Indie,Martial Arts,Sandbox,Fighting,Fast-Paced,Moddable,Open World,Ninja,Physics,Gore,Third Person,Multiplayer,Singleplayer,Difficult,Funny,Adventure,Local Co-Op,Early Access"
Snakeybus,"Indie,Casual,Action,Arcade,Driving,Funny"
Spintires®: The Original Game,"Simulation,Offroad,Physics,Multiplayer,Driving,Open World,Realistic,Adventure,Co-op,Moddable,Atmospheric,Exploration,Online Co-Op,Masterpiece,Sandbox,Racing,Singleplayer,Difficult,Action,Indie"
Jet Island,"Action,Casual,Indie,Simulation,Adventure,VR"
Project Highrise,"Management,Simulation,Building,Strategy,Singleplayer,2D,Sandbox,Indie,Economy,Casual,City Builder"
Expeditions: Viking,"RPG,Turn-Based,Strategy,Character Customization,Story Rich,Historical,Indie,Choices Matter,Singleplayer,Medieval,CRPG,Turn-Based Combat,Turn-Based Tactics,Tactical RPG,Adventure,Tactical,Hex Grid,Multiplayer,Open World,Female Protagonist"
Treasure Hunter Claire,"Sexual Content,Nudity,RPG,Anime,RPGMaker,Adventure,Female Protagonist,Indie,JRPG,Mature,Multiple Endings,Funny,Memes"
Dark Devotion,"Souls-like,Pixel Graphics,RPG,Action,Indie,Adventure,Female Protagonist,Metroidvania,Violent,2D,Gore,Rogue-like,Side Scroller,Dark Fantasy,Difficult"
Fade to Silence,"Survival,RPG,Open World,Crafting,Singleplayer,Online Co-Op,Lovecraftian,Base Building,Third Person,Horror,Survival Horror,Co-op,Multiplayer,Resource Management,Post-apocalyptic,Action,Early Access,Snow,Dark,Adventure"
Resident Evil 6 / Biohazard 6,"Action,Zombies,Co-op,Third-Person Shooter,Horror,Adventure,Co-op Campaign,Online Co-Op,Third Person,Shooter,Quick-Time Events,Multiplayer,Survival Horror,Local Co-Op,Survival,Split Screen,Singleplayer,Atmospheric,Female Protagonist,Masterpiece"
OKAMI HD / 大神 絶景版,"Adventure,Great Soundtrack,Mythology,Story Rich,Singleplayer,Female Protagonist,Classic,Atmospheric,Cult Classic,Open World,Action,Colorful,Stylized,Fantasy,Anime,Action RPG,Action-Adventure,Remake,RPG,JRPG"
Blackwake,"Early Access,Pirates,Multiplayer,Naval,Team-Based,Action,Early Access,First-Person,Strategy,Funny,FPS,Co-op,Indie,Swordplay,Sailing,Violent,Open World,Atmospheric,Casual,Adventure"
Caves of Qud,"Early Access,Rogue-like,RPG,Post-apocalyptic,Indie,Perma Death,Early Access,Sci-fi,Procedural Generation,Adventure,Open World,Strategy,Difficult,Pixel Graphics,Turn-Based,Story Rich,Replay Value,Exploration,Retro,Turn-Based Tactics"
Sleeping Dogs: Definitive Edition,"Open World,Action,Martial Arts,Crime,Singleplayer,Third Person,Story Rich,Adventure,Parkour,Racing,Multiplayer,Atmospheric,Gore,Shooter,Sandbox,Mature,Third-Person Shooter,Great Soundtrack,Remake,Co-op"
Sanctum 2,"Tower Defense,FPS,Co-op,Strategy,Action,Indie,Online Co-Op,Sci-fi,Multiplayer,First-Person,Shooter,Singleplayer,Survival,Futuristic,Aliens,Female Protagonist,Great Soundtrack,RPG,Funny,Adventure"
